Frame,Timestamp,left_elbow,right_elbow,left_knee,right_knee,left_shoulder,right_shoulder,left_hip,right_hip
0,1717570672.6615334,160.51517174665355,135.85889515121255,163.68688135419757,171.7419325206944,104.96823833880937,99.87049198984715,164.89552717113233,171.76363681849935
1,1717570672.731533,166.68505455835594,135.17961000574707,160.4739972717722,170.58647574301673,101.72653044989084,100.52249320732153,164.87785419836982,171.69897935415545
2,1717570672.7815313,169.96414582493043,136.1670836649884,160.43729274155103,170.49728599076084,101.13919204431284,99.40765937247517,164.84114966814866,171.6724903225184
3,1717570672.8215349,170.05800645900646,134.63506366426935,159.57312821093217,170.66797750812108,101.03063911010118,99.98666176465508,164.9060294169229,172.01500951587016
4,1717570672.8715286,168.58000441860844,134.78663944693767,159.806116838753,169.3931104518157,101.38396050468809,99.83508598198682,166.14630858466296,172.40935281751644
5,1717570672.9215367,170.1962904532053,135.70425104761645,158.67533339148315,163.41801052311368,100.89235511590232,99.83508598198682,164.74805808634406,174.57167113051554
6,1717570672.9715056,170.2236776911172,135.44529502008515,158.92777015565025,164.09382091671273,100.75941851102831,99.54136674456993,164.8316472660768,174.58613793478153
7,1717570673.0215168,169.70468506441958,135.29997516230392,160.4818137540912,162.00546813552754,100.87914525701159,100.19150185002769,165.90519329677804,174.7731610239211
8,1717570673.0715137,169.60827599430857,134.39478540275516,160.62545672667667,162.680331704539,100.99463644012864,99.62027204579135,165.88752032401553,174.47297605211529
9,1717570673.1215093,169.60827599430857,132.72681873863033,161.465174846783,164.40238285167933,100.99463644012864,100.37091742465321,165.54713651021063,173.85184708077338
10,1717570673.171507,169.00749241973227,132.575242955962,161.81763931080965,165.1232412023096,101.67486880975086,100.49147701233159,165.88752032401553,173.88434149357374
11,1717570673.2215042,159.3235188384099,133.49256424122504,161.1021500666758,163.58404280244,104.09657596178717,100.49147701233159,164.8316472660768,173.89296647913451
12,1717570673.2715018,161.40839871844472,134.42896462688523,168.7228641906938,163.97413255155024,102.12838793570883,100.49147701233159,169.7383403529956,173.18564711059025
13,1717570673.3214824,163.5612526042135,135.04337302692548,170.92674291095733,161.0137752397288,101.03757069924359,99.90808480728123,170.77445292897195,174.50685519750365
14,1717570673.3714814,161.3278847654506,134.42896462688523,170.6984617176137,159.94820285967543,102.20890188870295,100.49147701233159,171.01694331535245,176.43217034439257
15,1717570673.4214914,161.6160411780157,135.56429844933965,172.9754583916186,161.2738426070567,102.15075661371094,100.23699747338907,172.7103983861829,177.37932246495956
16,1717570673.4714892,160.02593209287173,135.56429844933965,177.69774162068205,163.22123781410633,101.67692293729141,100.26360953813264,172.7725581442889,177.34462553938448
17,1717570673.5214849,157.09062365774562,135.41886042376942,175.86603768418055,163.93743497915224,102.76818310885947,100.91047180072314,172.4430785164798,177.06457452606838
18,1717570673.5714824,153.5343342904819,134.59970996285006,175.86603768418055,163.44415994430457,102.69446621302386,100.65550995202125,172.85484807662823,176.30946811636923
19,1717570673.6214788,155.11301616647927,134.59970996285006,174.82472532320512,162.21566621294068,100.43652283450182,100.65550995202125,172.33191195737442,176.30946811636923
20,1717570673.6914864,151.39926121887473,134.7128954590181,170.8376529542783,161.85969728216824,101.03716676373624,99.91118472690118,170.6337542438115,176.65686612509492
21,1717570673.7314734,152.30198995086988,133.87635311958618,168.92273026055992,161.0883196867948,101.64709192595208,99.78387587188934,169.54232170365566,177.1269716573857
22,1717570673.7814565,151.92751306414704,134.84020431402996,170.13419305691565,160.41972042399533,101.64709192595208,99.78387587188934,168.82616175818524,177.1269716573857
23,1717570673.8314533,156.9376213703573,135.8258926085203,171.23188146743544,163.24846668217663,101.8256161299098,100.27266002376672,168.5066311398329,177.0734617224289
24,1717570673.8814487,157.75097634278765,134.18722032526307,169.89724191795185,167.0422683325775,101.8256161299098,100.27266002376672,167.78163914795874,174.9826350214856
25,1717570673.9314594,157.40359935248335,134.18722032526307,171.05575971278262,169.85191313875723,102.61691096273043,100.25908818520969,168.07642680350372,174.18858284279824
26,1717570673.981457,155.93657163720377,133.36952913473968,169.22636181222381,170.54909243063463,102.55765084231255,99.93103245473048,168.01309666025415,173.83515821776456
27,1717570674.031453,156.95154816186826,131.93878453008745,169.12998118833343,170.3792566855141,102.56686534521045,100.39485690237939,167.30706847875436,174.98124866368468
28,1717570674.091435,156.8358693779753,130.23562780324306,169.09470054038295,166.13768074052726,102.66427816032298,99.71488057522475,167.27178783080387,176.60587358328183
29,1717570674.1314318,157.2559775509045,129.79125231835346,168.9115215219499,164.17948077367345,102.15288110425871,99.7486170840964,166.55785868191825,177.36705290755398
30,1717570674.1814308,155.48766437849406,130.48235458828458,166.77726275944764,164.24963182183504,102.36236078766902,99.0575148141653,164.82708465447476,176.84091715726132
31,1717570674.2314458,154.81863579029053,126.48858743925462,167.68509273536336,163.9732676182062,103.03138937587255,98.86392829029108,164.32483636707346,176.78846220240248
32,1717570674.2814426,154.26831971937523,126.41908178855647,167.01316137590854,163.98832725080217,103.07912378006682,99.46232220802563,163.59190159808773,176.52934963920404
33,1717570674.3314414,152.0668771880768,127.90925145772584,167.58757635426014,166.2284002829176,104.17233770013196,98.88065915052027,163.78439585403282,175.2396217244046
34,1717570674.381423,152.96992734348788,127.32758840022044,168.36359938098832,171.30638242336815,104.35158538700989,99.96935126894039,165.3016840146149,172.12395258501462
35,1717570674.4314182,156.96395026879307,126.47686873770996,169.48956468662212,174.14924443564925,103.94984658437195,99.96490387474665,164.2243998626862,170.18723905311668
36,1717570674.4914246,156.71582959553143,129.907884875501,169.17976311910903,173.9708879094509,104.64703898939783,101.12668433706989,162.99571729061987,171.04021493349913
37,1717570674.5414066,155.16118568870556,130.2363583092738,170.29366317077844,173.42939751419934,104.6856076403479,102.33296266268809,163.2693163181509,171.00579696390852
38,1717570674.5814056,156.0041898430702,132.31211339177256,170.91610327786663,173.4320568478256,104.83346311120809,103.04372307793119,162.60662590919193,171.04345026375398
39,1717570674.6314213,155.5884857352878,132.31211339177256,170.17858455728106,174.38940797841974,105.38056082230531,103.05310506237538,161.87580296741348,170.16436437018527
40,1717570674.6814196,156.57654494418935,130.99448127710176,172.77076450490713,173.6232442644697,105.38994280674956,102.92090273119373,163.38268821811266,171.00579696390852
